Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-28,French Kiss,1995,https://boxd.it/3B5XCv,3.5,,,2022-12-28
2023-01-01,Mare of Easttown,2021,https://boxd.it/3CjQND,4,,,2022-12-31
2023-01-03,Truly Madly Deeply,1990,https://boxd.it/3D7NYD,4.5,,,2023-01-02
2023-01-07,The Banshees of Inisherin,2022,https://boxd.it/3EUORb,4,,,2023-01-07
2023-01-09,The Man from Earth,2007,https://boxd.it/3FI7sn,3.5,,,2023-01-08
2023-01-21,Forgotten,2017,https://boxd.it/3JJVEV,3,,,2023-01-21
2023-01-22,Gad Elmaleh: American Dream,2018,https://boxd.it/3K53MP,4,,,2023-01-22
2023-02-05,The Menu,2022,https://boxd.it/3Op9HR,4,,,2023-02-04
2023-02-14,Saving Private Ryan,1998,https://boxd.it/3QZ4sR,4,,,2023-02-13
2023-02-19,Babylon,2022,https://boxd.it/3SgD0r,4,,,2023-02-18
2023-02-26,TÁR,2022,https://boxd.it/3UnADH,3.5,,,2023-02-26
2023-02-27,11.22.63,2016,https://boxd.it/3UEEAr,3.5,,,2023-02-26
2023-03-01,Last Tango in Paris,1972,https://boxd.it/3VevIN,1,,,2023-02-28
2023-03-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/3VJabZ,4,,,2023-03-02
2023-03-14,The Fabelmans,2022,https://boxd.it/3YS2aJ,4.5,,,2023-03-14
2023-03-18,A Man Called Otto,2022,https://boxd.it/3ZOgkT,3.5,,,2023-03-17
2023-03-19,The Whale,2022,https://boxd.it/4075sZ,3.5,,,2023-03-18
2023-04-01,The Florida Project,2017,https://boxd.it/43wJrJ,3,,,2023-03-31
2023-04-03,Taste of Cherry,1997,https://boxd.it/44aaAB,4,,,2023-04-02
2023-04-09,Close,2022,https://boxd.it/463Js7,4.5,,,2023-04-09
2023-04-27,The Dust of Time,2008,https://boxd.it/4aQ1TR,3,,,2023-04-27
2023-04-29,Summer 1993,2017,https://boxd.it/4bbUMN,4,,,2023-04-28
2023-05-16,Burning Days,2022,https://boxd.it/4fGVzX,4,,,2023-05-15
2023-05-24,The Pope's Exorcist,2023,https://boxd.it/4hKW4R,2.5,,,2023-05-24
2023-06-02,Blue Jasmine,2013,https://boxd.it/4jQjxZ,3.5,,,2023-06-02
2023-06-03,The Talented Mr. Ripley,1999,https://boxd.it/4kfuw9,4,,,2023-06-03
2023-06-09,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/4lIX9F,4,,,2023-06-08
2023-06-09,One Fine Morning,2022,https://boxd.it/4lOrYX,4,,,2023-06-09
2023-06-10,Beautiful Boy,2018,https://boxd.it/4m4qyh,4,,,2023-06-10
2023-06-17,The Departed,2006,https://boxd.it/4nVp6L,3.5,,,2023-06-16
2023-06-24,"Paris, Texas",1984,https://boxd.it/4pV79Z,4,,,2023-06-24
2023-06-25,Sick of Myself,2022,https://boxd.it/4q8jNX,3,,,2023-06-24
2023-06-27,La Belle Noiseuse,1991,https://boxd.it/4r0FEL,3.5,,,2023-06-27
2023-07-02,Snow and the Bear,2022,https://boxd.it/4sooy9,3,,,2023-07-02
2023-07-16,All About My Mother,1999,https://boxd.it/4wvZsR,3.5,,,2023-07-16
2023-07-21,Hit the Road,2021,https://boxd.it/4y3QjD,4,,,2023-07-20
2023-07-22,Oppenheimer,2023,https://boxd.it/4yy0QH,4.5,,,2023-07-22
2023-07-27,About Dry Grasses,2023,https://boxd.it/4AKLYP,4,,,2023-07-27
2023-08-03,Barbie,2023,https://boxd.it/4DijHn,3.5,,,2023-08-02
2023-08-08,After Hours,1985,https://boxd.it/4EZn5d,4,,,2023-08-07
2023-08-11,Inception,2010,https://boxd.it/4FVeit,4.5,,,2023-08-10
2023-08-12,Twice Born,2012,https://boxd.it/4GttEx,3,,,2023-08-12
2023-08-25,Bruce Almighty,2003,https://boxd.it/4KqaU7,3.5,,,2023-08-24
2023-08-28,The Great Beauty,2013,https://boxd.it/4LoskB,3.5,,,2023-08-28
2023-08-29,The Green Knight,2021,https://boxd.it/4LI4hD,2,,,2023-08-28
2023-08-31,20th Century Women,2016,https://boxd.it/4MgzNX,4,,,2023-08-30
2023-09-10,This Summer Feeling,2015,https://boxd.it/4Peo8d,3.5,,,2023-09-10
2023-09-13,Past Lives,2023,https://boxd.it/4Q4SP1,2.5,,,2023-09-12
2023-09-14,"Two Days, One Night",2014,https://boxd.it/4QnSkP,4.5,,,2023-09-14
2023-09-16,Taxi Driver,1976,https://boxd.it/4QQ3Sp,4,,,2023-09-15
2023-09-21,Autumn,2008,https://boxd.it/4SgFAp,3,,,2023-09-20
2023-09-30,The Kid with a Bike,2011,https://boxd.it/4UNInR,4,,,2023-09-29
2023-10-02,A Bigger Splash,2015,https://boxd.it/4VAOAF,3,,,2023-10-01
2023-10-04,Death in Venice,1971,https://boxd.it/4WgpEB,4,,,2023-10-03
2023-10-06,The Child,2005,https://boxd.it/4WRfOb,3.5,,,2023-10-05
2023-10-12,Cloud Atlas,2012,https://boxd.it/4YWHPp,3,,,2023-10-12
2023-10-16,Microphone,2010,https://boxd.it/50i2Wn,3.5,,,2023-10-15
2023-10-27,Nelly and Monsieur Arnaud,1995,https://boxd.it/53Inh5,3,,,2023-10-26
2023-10-28,The Death of Stalin,2017,https://boxd.it/544v7B,3.5,,,2023-10-27
2023-10-31,Silence,2016,https://boxd.it/55htvh,4.5,,,2023-10-31
2023-11-01,Good Morning,1959,https://boxd.it/55DDI5,4,,,2023-11-01
2023-11-02,Basic Instinct,1992,https://boxd.it/560udX,3,,,2023-11-01
2023-11-04,The Irishman,2019,https://boxd.it/56NDsP,3.5,,,2023-11-04
2023-11-06,Scenes from a Marriage,1974,https://boxd.it/57eIHp,4,,,2023-11-05
2023-11-14,Close-Up,1990,https://boxd.it/59SV8v,4.5,,,2023-11-13
2023-11-21,Bihter: A Forbidden Passion,2023,https://boxd.it/5c6HJN,0.5,Yes,,2023-11-21
2023-11-25,Submarine,2010,https://boxd.it/5dfpGN,4.5,Yes,,2023-11-24
2023-11-25,Last Call for Istanbul,2023,https://boxd.it/5dfqOt,2.5,,,2023-11-24
2023-12-03,Vivre Sa Vie,1962,https://boxd.it/5g0Sgh,3.5,,,2023-12-02
2023-12-09,Fruitvale Station,2013,https://boxd.it/5i7SA9,4,,,2023-12-09
2023-12-10,Philadelphia,1993,https://boxd.it/5ivoAB,3.5,,,2023-12-10
2023-12-13,"Oslo, August 31st",2011,https://boxd.it/5jNLT7,3.5,,,2023-12-13
2023-12-14,Insomnia,2002,https://boxd.it/5jY9iJ,4,,,2023-12-14
2023-12-17,I Know This Much Is True,2020,https://boxd.it/5kXngJ,4.5,,,2023-12-16
2023-12-20,Loveless,2017,https://boxd.it/5m9dzJ,3.5,,,2023-12-19
2023-12-23,La Cérémonie,1995,https://boxd.it/5nlsKv,3,,,2023-12-23
2023-12-27,Where Is the Friend's House?,1987,https://boxd.it/5pqup3,4.5,,,2023-12-27
2024-01-01,Tiny Beautiful Things,2023,https://boxd.it/5s3g6d,3.5,,,2023-12-31
2024-01-02,Afire,2023,https://boxd.it/5sVRpJ,3,,,2024-01-02
2024-01-04,Capernaum,2018,https://boxd.it/5uapRf,4,,,2024-01-03
2024-01-07,Mirror,1975,https://boxd.it/5wj2NF,3,,,2024-01-07
2024-01-13,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/5zISzd,4,,,2024-01-13
2024-01-14,Priscilla,2023,https://boxd.it/5Ae8sT,3,,,2024-01-13
2024-01-24,Husbands and Wives,1992,https://boxd.it/5FxdsH,4,,,2024-01-23
2024-01-28,May December,2023,https://boxd.it/5HsM3F,3.5,,,2024-01-27
2024-02-09,Anatomy of a Fall,2023,https://boxd.it/5N0tzl,4.5,,,2024-02-08
2024-02-10,My Salinger Year,2020,https://boxd.it/5NtV3v,3,,,2024-02-09
2024-02-12,Damage,1992,https://boxd.it/5OvSG3,3,,,2024-02-11
2024-02-14,Perfect Days,2023,https://boxd.it/5Pnlhd,4,,,2024-02-14
2024-02-19,Behind Open Doors,2023,https://boxd.it/5Ru5L9,2,,,2024-02-18
2024-02-26,Adaptation.,2002,https://boxd.it/5UMd3n,4,,,2024-02-25
2024-03-06,Prisoners,2013,https://boxd.it/5Zctzx,4.5,,,2024-03-06
2024-03-07,A Round of Applause,2024,https://boxd.it/5ZB9iL,4,,,2024-03-06
2024-03-12,Monster,2023,https://boxd.it/623QKR,4,,,2024-03-12
2024-03-21,Boyhood,2014,https://boxd.it/65WcGd,4,,,2024-03-16
2024-03-21,Vortex,2021,https://boxd.it/65Wcvz,4.5,,,2024-03-17
2024-03-24,Portrait of a Lady on Fire,2019,https://boxd.it/67E4kb,4,,,2024-03-24
2024-03-24,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/67E4S3,3,,,2024-03-24
2024-04-05,Certified Copy,2010,https://boxd.it/6daJzb,4,,,2024-04-05
