Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30851529,Anayurt Oteli,Yusuf Atılgan,"Atılgan, Yusuf",,"=""""","=""9789750735639""",3,Can Yayınları,Paperback,128,2017,1973,,2024/10/10,,,read,,,,1,0
20740607,Aylak Adam,Yusuf Atılgan,"Atılgan, Yusuf",,"=""9750735641""","=""9789750735646""",4,Can Yayınları,Paperback,192,2017,1959,,2024/10/10,,,read,,,,1,0
167983,Nietzsche Ağladığında,Irvin D. Yalom,"Yalom, Irvin D.",Aysun Babacan,"=""9755391460""","=""9789755391465""",4,Ayrıntı Yayınları,Paperback,430,1996,1992,,2024/10/10,,,read,,,,1,0
13421209,İklimler,André Maurois,"Maurois, André",Tahsin Yücel,"=""6055819007""","=""9786055819002""",3,Helikopter,Paperback,204,2008,1928,,2024/10/10,,,read,,,,1,0
1546936,Puslu Kıtalar Atlası,İhsan Oktay Anar,"Anar, İhsan Oktay",,"=""9754704724""","=""9789754704723""",5,İletişim Yayınevi,Paperback,238,2005,1995,,2024/10/10,,,read,,,,1,0
42633062,Dorian Gray'in Portresi,Oscar Wilde,"Wilde, Oscar",Didar Zeynep Batumlu,"=""6052956267""","=""9786052956267""",4,Türkiye İş Bankası Kültür Yayınları,Paperback,272,2018,1890,,2024/10/10,,,read,,,,1,0
23674006,Martin Eden,Jack London,"London, Jack",Levent Cinemre,"=""6053322121""","=""9786053322122""",4,Türkiye İş Bankası Kültür Yayınları,Paperback,528,2014,1909,,2024/10/10,,,read,,,,1,0
35048654,Gölgesizler,Hasan Ali Toptaş,"Toptaş, Hasan Ali",,"=""6051850678""","=""9786051850672""",3,Everest Yayınları,Paperback,256,2017,1995,,2024/10/10,,,read,,,,1,0
32452828,Kuşlar Yasına Gider,Hasan Ali Toptaş,"Toptaş, Hasan Ali",,"=""605185066X""","=""9786051850665""",3,Everest Yayınları,Paperback,250,2016,2016,,2024/10/10,,,read,,,,1,0
7389497,Kör Baykuş,Sadegh Hedayat,"Hedayat, Sadegh","Sadık Hidayet, Behçet Necatigil","=""""","=""""",5,Yapı Kredi Yayınları,Paperback,95,2017,1937,,2024/10/10,,,read,,,,1,0
8490932,Hikâyeler,Ahmet Hamdi Tanpınar,"Tanpınar, Ahmet Hamdi",,"=""9759952386""","=""9789759952389""",4,Dergah Yayınları,Paperback,356,2014,1983,,2024/10/10,,,read,,,,1,0
9363889,Uzun Hikâye,Mustafa Kutlu,"Kutlu, Mustafa",,"=""""","=""""",4,Dergah Yayınları,,115,2000,2000,,2024/10/10,,,read,,,,1,0
43731629,Genç Werther'in Acıları,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Özdemir Erdem,"=""6059018084""","=""9786059018081""",3,Islık Yayınları,Paperback,224,2015,1774,,2024/10/10,,,read,,,,1,0
9633928,Pastoral Senfoni,André Gide,"Gide, André",Buket Yılmaz,"=""""","=""""",5,Timaş Yayınları,,96,2009,1919,,2024/10/10,,,read,,,,1,0
12449733,Sözde Kızlar,Peyami Safa,"Safa, Peyami",,"=""9754370508""","=""9789754370508""",5,Ötüken Yayınları,Paperback,222,2016,1923,,2024/10/10,,,read,,,,1,0
6482583,Fatih Harbiye,Peyami Safa,"Safa, Peyami",,"=""9754370230""","=""9789754370232""",4,Ötüken Neşriyat,Paperback,127,1968,1931,,2024/10/10,,,read,,,,1,0
9269370,Sabırsız Yürek,Stefan Zweig,"Zweig, Stefan",Çiğdem Öztekin,"=""9750732073""","=""9789750732072""",5,Can Yayınları,Paperback,460,2016,1939,,2024/10/10,,,read,,,,1,0
13284417,Kirpinin Zarafeti,Muriel Barbery,"Barbery, Muriel",Işık Ergüden,"=""6054069225""","=""9786054069224""",3,Turkuvaz Kitap,Paperback,280,2012,2006,,2024/10/10,,,read,,,,1,0
23278982,Palto,Nikolai Gogol,"Gogol, Nikolai",Mustafa Bal,"=""6056426351""","=""9786056426353""",3,Palto Yayınevi,Paperback,64,2014,1842,,2024/10/10,,,read,,,,1,0
50995609,"İşin Aslı, Judit ve Sonrası",Sándor Márai,"Márai, Sándor",Esen Tezel,"=""9750846303""","=""9789750846304""",3,Yapı Kredi Yayınları,Paperback,308,2019,1941,,2024/10/10,,,read,,,,1,0
57453075,Miras,Vigdis Hjorth,"Hjorth, Vigdis",Dilek Başak,"=""6055903881""","=""9786055903886""",4,Siren Yayınları,Paperback,309,2021,2016,,2024/10/10,,,read,,,,1,0
17182980,Büyük Defter - Kanıt - Üçüncü Yalan,Ágota Kristóf,"Kristóf, Ágota",Ayşe İnce Kurşunlu,"=""9750817982""","=""9789750817984""",4,Yapı Kredi Yayınları,Paperback,371,2010,1991,,2024/10/10,,,read,,,,1,0
60028257,Yalın Tutku,Annie Ernaux,"Ernaux, Annie",Yaşar Avunç,"=""9750755952""","=""9789750755958""",3,Can Yayınları,Paperback,56,2022,1991,,2024/10/10,,,read,,,,1,0
13036,"Balthazar (The Alexandria Quartet, #2)",Lawrence Durrell,"Durrell, Lawrence",,"=""1400000289""","=""9781400000289""",3,Sudamericana,Mass Market Paperback,280,2002,1958,,2024/10/10,,,read,,,,1,0
13039,"Clea (The Alexandria Quartet, #4)",Lawrence Durrell,"Durrell, Lawrence",,"=""0140153225""","=""9780140153224""",3,Penguin Publishing Group,Paperback,289,1991,1960,,2024/10/10,,,read,,,,1,0
126710,"Mountolive (The Alexandria Quartet, #3)",Lawrence Durrell,"Durrell, Lawrence",,"=""0140153209""","=""9780140153200""",5,Penguin Books,Paperback,320,1991,1958,,2024/10/10,,,read,,,,1,0
13037,"Justine (The Alexandria Quartet, #1)",Lawrence Durrell,"Durrell, Lawrence",,"=""0140153195""","=""9780140153194""",5,Penguin,Paperback,253,1991,1957,,2024/10/10,,,read,,,,1,0
17235572,Bir Son Duygusu,Julian Barnes,"Barnes, Julian",Serdar Rifat Kırkoğlu,"=""9755397213""","=""9789755397214""",4,Ayrıntı Yayınları,Paperback,160,2013,2011,,2024/01/24,,,read,,,,1,0
13507877,Beyaz Kalp,Javier Marías,"Marías, Javier",Bülent Kale,"=""9753080875""","=""9789753080873""",5,Gendaş Kültür,Paperback,296,1999,1992,,2024/10/10,,,read,,,,1,0
126118411,Bir Kadın,Annie Ernaux,"Ernaux, Annie",Yaşar Avunç,"=""975076059X""","=""9789750760594""",3,Can Yayınları,Paperback,64,2023,1988,,2024/10/10,,,read,,,,1,0
15854140,Onca Yoksulluk Varken,Romain Gary,"Gary, Romain","Émile Ajar, Vivet Kanetti","=""6051030387""","=""9786051030388""",5,Agora Yayınevi,Paperback,200,2009,1975,,2024/10/10,,,read,,,,1,0
1531992,Asılacak Kadın,Pınar Kür,"Kür, Pınar",,"=""9750732987""","=""9789750732980""",3,Can Yayınları,Paperback,152,2016,1979,,2024/10/10,,,read,,,,1,0
27296443,İnsanlığımı Yitirirken,Osamu Dazai,"Dazai, Osamu",Hüseyin Can Erkin,"=""6056550508""","=""9786056550508""",3,Japon Yayınları,Paperback,116,2015,1948,,2024/10/10,,,read,,,,1,0
12784175,Tatar Çölü,Dino Buzzati,"Buzzati, Dino",Hülya Tufan,"=""""","=""""",3,İletişim Yayınları,Paperback,232,2004,1940,,2024/10/10,,,read,,,,1,0
25900878,Dar Kapı,André Gide,"Gide, André",,"=""9752639240""","=""9789752639249""",5,Timaş Yayınları,Paperback,160,2013,1909,,2024/10/10,,,read,,,,1,0
39862787,Unutmanın Genel Teorisi,José Eduardo Agualusa,"Agualusa, José Eduardo",Sevcan Şahin,"=""6050827737""","=""9786050827736""",4,Timaş Yayınları,Paperback,272,2018,2012,,2024/10/10,,,read,,,,1,0
