Date,Name,Year,Letterboxd URI
2024-04-29,Divorce Italian Style,1961,https://boxd.it/1DNs
2024-05-11,Disgrace,2008,https://boxd.it/1S2Q
2024-05-12,A Dry White Season,1989,https://boxd.it/1hMM
2024-05-29,Attila Marcel,2013,https://boxd.it/5ETO
2024-06-01,The Spirit of the Beehive,1973,https://boxd.it/24eY
2024-06-05,Crossing,2024,https://boxd.it/sLu8
2024-06-05,Dormitory,2023,https://boxd.it/HJzg
2024-07-31,Nightcrawler,2014,https://boxd.it/780m
2024-07-31,Remembering Every Night,2022,https://boxd.it/ECRc
2024-08-05,Alice in the Cities,1974,https://boxd.it/27cG
2024-08-21,The Yellow Mercedes,1993,https://boxd.it/9zlq
2024-08-26,The Danish Girl,2015,https://boxd.it/9Ohy
2024-09-15,An Ordinary Case,2024,https://boxd.it/GYoq
2024-09-17,My Favourite Cake,2024,https://boxd.it/KU6K
2024-09-29,No Home Movie,2015,https://boxd.it/bXWE
2024-09-29,News from Home,1976,https://boxd.it/34TO
2024-09-29,"American Stories: Food, Family and Philosophy",1989,https://boxd.it/7PSm
2024-10-04,The Man Without a Past,2002,https://boxd.it/212g
2024-10-06,Mass,2021,https://boxd.it/eYAA
2024-10-09,Oldboy,2003,https://boxd.it/29R2
2024-11-02,My Own Private Idaho,1991,https://boxd.it/2ak4
2024-11-17,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2024-11-18,Office Space,1999,https://boxd.it/28Em
2024-12-03,Fate,2024,https://boxd.it/QGqo
2024-12-23,Apocalypto,2006,https://boxd.it/28yy
2024-12-24,The Wind Will Carry Us,1999,https://boxd.it/Uwc
2024-12-28,Arizona Dream,1993,https://boxd.it/1UMm
2025-01-12,Dunkirk,2017,https://boxd.it/d0Y6
2025-01-12,Primal Fear,1996,https://boxd.it/28ws
2025-01-16,Small Things Like These,2024,https://boxd.it/FHIm
2025-01-17,France,2021,https://boxd.it/mdP0
2025-02-10,Under the Tuscan Sun,2003,https://boxd.it/1V2u
2025-02-21,A Complete Unknown,2024,https://boxd.it/oBYa
2025-04-28,Nosferatu,2024,https://boxd.it/f5eG
2025-05-05,The Assessment,2024,https://boxd.it/Ogf6
2025-05-05,The Handmaiden,2016,https://boxd.it/948A
2025-05-10,Your Honor,2020,https://boxd.it/sBBe
2025-05-10,Patrick Melrose,2018,https://boxd.it/j1Pc
2025-05-30,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-02,Ghost Trail,2024,https://boxd.it/BQDs
2025-06-03,Tears of Cem Karaca,2024,https://boxd.it/KK2y
2025-06-08,The Big Sick,2017,https://boxd.it/eHvy
2025-06-09,Nonnas,2025,https://boxd.it/HxlQ
2025-06-10,The Eichmann Trial,2024,https://boxd.it/M1XI
2025-06-22,Fracture,2007,https://boxd.it/220K
2025-06-25,The Baby Carriage,1963,https://boxd.it/4mLK
2025-06-30,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4
2025-07-02,Climax,2018,https://boxd.it/ikvo
2025-07-04,71 Fragments of a Chronology of Chance,1994,https://boxd.it/1gAU
2025-07-05,Melancholia,2011,https://boxd.it/bPI
2025-07-05,The Idiots,1998,https://boxd.it/2amu
2025-07-05,Europa,1991,https://boxd.it/1ZfM
2025-07-05,Antichrist,2009,https://boxd.it/1Inu
2025-07-06,The Phantom of Liberty,1974,https://boxd.it/22VG
2025-07-06,Paradise: Love,2012,https://boxd.it/3wTW
2025-07-06,Midsommar,2019,https://boxd.it/jhxe
2025-07-07,Sorry We Missed You,2019,https://boxd.it/iXBg
2025-07-08,Darkest Hour,2017,https://boxd.it/dZZa
2025-07-09,Downfall,2004,https://boxd.it/2a04
2025-07-09,The House That Jack Built,2018,https://boxd.it/dWO4
2025-07-09,The Postman,1994,https://boxd.it/1URG
2025-07-09,Capote,2005,https://boxd.it/2atq
2025-07-09,In Cold Blood,1967,https://boxd.it/1G62
2025-07-09,Amadeus,1984,https://boxd.it/2aH8
2025-07-09,All the President's Men,1976,https://boxd.it/29lU
2025-07-09,Bonnie and Clyde,1967,https://boxd.it/2ajg
2025-07-09,Shame,1968,https://boxd.it/1tZo
2025-07-09,Before the Rain,1994,https://boxd.it/1FAq
2025-07-09,Sophie's Choice,1982,https://boxd.it/1Lzy
2025-07-09,An Episode in the Life of an Iron Picker,2013,https://boxd.it/4ZS6
2025-07-09,Mediterraneo,1991,https://boxd.it/16qK
2025-07-09,Paths of Glory,1957,https://boxd.it/29b6
2025-07-09,Son of Saul,2015,https://boxd.it/b6r4
2025-07-09,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-07-09,Hair,1979,https://boxd.it/1VIA
2025-07-10,The September Issue,2009,https://boxd.it/1zJw
2025-07-10,The Passion of Joan of Arc,1928,https://boxd.it/29DO
2025-07-10,Mon Oncle,1958,https://boxd.it/2apy
2025-07-10,The Triplets of Belleville,2003,https://boxd.it/1Y6Y
2025-07-10,The Last Metro,1980,https://boxd.it/28fc
2025-07-10,Day for Night,1973,https://boxd.it/28kG
2025-07-10,Jules and Jim,1962,https://boxd.it/28rM
2025-07-10,Stolen Kisses,1968,https://boxd.it/2aL0
2025-07-10,Au Hasard Balthazar,1966,https://boxd.it/1E3g
2025-07-10,Mouchette,1967,https://boxd.it/28Bs
2025-07-11,Funny Games,1997,https://boxd.it/1WKM
2025-07-11,Shakespeare in Love,1998,https://boxd.it/27Pe
2025-07-11,Apocalypse Now,1979,https://boxd.it/6ZS
2025-07-12,Dreams,1990,https://boxd.it/1ROu
2025-07-12,The Rider,2017,https://boxd.it/gazw
2025-07-13,The Missing Picture,2013,https://boxd.it/5Fj8
2025-07-13,The Act of Killing,2012,https://boxd.it/44Cg
2025-07-13,Triumph of the Will,1935,https://boxd.it/145A
2025-07-13,Grizzly Man,2005,https://boxd.it/2ag2
2025-07-13,Finding Vivian Maier,2013,https://boxd.it/5ePG
2025-07-13,Searching for Sugar Man,2012,https://boxd.it/2Y3s
2025-07-13,The Sound of the Shaking Earth,1990,https://boxd.it/fB4y
2025-07-14,Carla's Song,1996,https://boxd.it/27lo
2025-07-14,"Good Bye, Lenin!",2003,https://boxd.it/2ayA
2025-07-14,Never Gonna Snow Again,2020,https://boxd.it/rdSI
2025-07-15,Fish Cracker,2018,https://boxd.it/tJ4a
2025-07-22,Your Name.,2016,https://boxd.it/cUqs
2025-07-22,Turtles Can Fly,2004,https://boxd.it/20l2
2025-07-22,Three Days and a Life,2019,https://boxd.it/mRBi
