Date,Name,Year,Letterboxd URI,Rating
2021-04-15,The Fountain,2006,https://boxd.it/28RU,4
2021-04-22,Like Crazy,2011,https://boxd.it/g4s,3
2021-04-23,Call Me by Your Name,2017,https://boxd.it/dYmm,2.5
2021-04-24,Collateral Beauty,2016,https://boxd.it/bAIu,4.5
2021-04-25,Pieces of a Woman,2020,https://boxd.it/nOrQ,3.5
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/iYWk,4.5
2021-04-30,On Body and Soul,2017,https://boxd.it/fu7A,3.5
2021-05-02,Scent of a Woman,1992,https://boxd.it/1YAu,3.5
2021-05-02,Sound of Metal,2019,https://boxd.it/i7Q4,3.5
2021-05-04,Amélie,2001,https://boxd.it/2aUc,4
2021-05-05,La Belle Époque,2019,https://boxd.it/lXCE,4.5
2021-05-09,Minari,2020,https://boxd.it/mL9M,4.5
2021-05-09,Love Likes Coincidences 2,2020,https://boxd.it/oyc8,2.5
2021-05-11,As Good as It Gets,1997,https://boxd.it/268y,4.5
2021-05-16,Lady Bird,2017,https://boxd.it/dGNE,3.5
2021-05-22,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,https://boxd.it/4CHE,4
2021-05-26,Love in the Afternoon,1957,https://boxd.it/1HcK,2
2021-05-30,Friends: The Reunion,2021,https://boxd.it/pOQq,2.5
2021-06-03,Love in the Afternoon,1972,https://boxd.it/1Svo,3.5
2021-06-20,Pain and Glory,2019,https://boxd.it/iOBQ,2
2021-06-22,Oscar and the Lady in Pink,2009,https://boxd.it/AkU,3
2021-07-01,To the Bone,2017,https://boxd.it/e5AK,2
2021-07-14,Wonder,2017,https://boxd.it/ekeY,3
2021-07-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2021-08-04,Winter Sleep,2014,https://boxd.it/7Ua0,5
2021-08-06,Climates,2006,https://boxd.it/1H0k,3.5
2021-08-11,Annette,2021,https://boxd.it/f0RS,4
2021-08-11,Never Look Away,2018,https://boxd.it/eZns,4
2021-08-12,"Love, Rosie",2014,https://boxd.it/62hE,3
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/26li,3
2021-08-17,Amores Perros,2000,https://boxd.it/2bfu,3.5
2021-08-19,Whiplash,2014,https://boxd.it/7bQA,4.5
2021-08-20,Noah Land,2019,https://boxd.it/lEsq,3
2021-08-21,Chungking Express,1994,https://boxd.it/1UDa,3
2021-08-23,Little White Lies,2010,https://boxd.it/JiI,4
2021-08-23,The Elephant Man,1980,https://boxd.it/27LQ,3.5
2021-08-23,The Book Thief,2013,https://boxd.it/67wO,3
2021-08-23,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,3
2021-08-24,The Sea Inside,2004,https://boxd.it/27S8,4.5
2021-08-24,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3.5
2021-08-26,Mary and Max,2009,https://boxd.it/1y2m,4.5
2021-08-26,Head-On,2004,https://boxd.it/2awk,3
2021-08-26,The Emoji Movie,2017,https://boxd.it/d9x4,3
2021-08-26,Cars 3,2017,https://boxd.it/7IPq,3
2021-08-26,The Little Prince,2015,https://boxd.it/9WbS,3.5
2021-08-26,Sex Tape,2014,https://boxd.it/6FRG,2
2021-08-26,Wedding Association,2013,https://boxd.it/7ezC,2.5
2021-08-26,Anna Karenina,2012,https://boxd.it/3lyy,3.5
2021-08-26,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,3
2021-08-26,Cars of the Revolution,2008,https://boxd.it/ypy,4
2021-08-26,Bee Movie,2007,https://boxd.it/22Vw,4
2021-08-26,Casablanca,1942,https://boxd.it/2aG0,3
2021-09-13,Another Round,2020,https://boxd.it/lkba,4
2021-09-18,Enemy,2013,https://boxd.it/5xtO,3
2021-09-20,Anima,2019,https://boxd.it/mxuc,2.5
2021-09-20,The Father,2020,https://boxd.it/m8Ie,4.5
2021-09-29,Shame,2011,https://boxd.it/2CxU,3
2021-10-04,A Heart in Winter,1992,https://boxd.it/Ja0,5
2021-10-10,Cinderella Man,2005,https://boxd.it/29he,4.5
2021-10-11,Shiva Baby,2020,https://boxd.it/oIv0,2.5
2021-10-12,The Guilty,2021,https://boxd.it/kOPW,3.5
2021-10-12,Locke,2013,https://boxd.it/6hHC,3.5
2021-10-15,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2021-10-24,The Last Samurai,2003,https://boxd.it/29ZA,3.5
2021-10-27,Dune,2021,https://boxd.it/fA7G,3
2021-10-27,After We Fell,2021,https://boxd.it/rWum,2.5
2021-11-02,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2021-11-05,Scenes from a Marriage,2021,https://boxd.it/wzSU,4.5
2021-11-07,The Souvenir,2019,https://boxd.it/gXU4,2.5
2021-11-21,A Tale of Winter,1992,https://boxd.it/1WJO,3
2021-11-22,Eiffel,2021,https://boxd.it/omw6,3.5
2021-11-28,Cinema Paradiso,1988,https://boxd.it/1UlA,4.5
2021-12-09,Rush,2013,https://boxd.it/3lyS,4.5
2021-12-12,Jerry Maguire,1996,https://boxd.it/1YNS,3.5
